date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,26.8,24.7,29.1,0.5,,,6.4,,1015.7,
2020-01-02 00:00:00,27.9,25,31.5,0.5,,,11.1,,1015.9,
2020-01-03 00:00:00,27.3,23.9,32.2,0,,,12,,1014.9,
2020-01-04 00:00:00,27.2,23.8,32.3,,,,10.1,,1013.2,
2020-01-05 00:00:00,27.9,24.2,31.2,0,,,14.6,,1013.6,
2020-01-06 00:00:00,28.1,26,32.4,,,,13.2,,1013.4,
2020-01-07 00:00:00,27.3,24.9,31,,,,8.8,,1013.1,
2020-01-08 00:00:00,27.2,23.6,31.4,,,,9.8,,1012.3,
2020-01-09 00:00:00,27.5,23.8,31,,,,9.1,,1012.1,
2020-01-10 00:00:00,26.7,23.3,29.5,,,,8.3,,1010.5,
2020-01-11 00:00:00,27.9,23.7,31.8,0,,,8.5,,1009.9,
2020-01-12 00:00:00,27.3,23.4,31.1,,,,6.3,,1009.5,
2020-01-13 00:00:00,26.8,25,29.5,,,,8.4,,1009.6,
2020-01-14 00:00:00,27.1,24,30.4,0,,,7.8,,1011.4,
2020-01-15 00:00:00,27.2,24,30.8,,,,8.3,,1012.7,
2020-01-16 00:00:00,28.3,24.1,32.5,,,,7.5,,1012.3,
2020-01-17 00:00:00,28.1,24.9,31.5,,,,6.6,,1012.3,
2020-01-18 00:00:00,27.5,25.9,31.2,,,,8.6,,1012.3,
2020-01-19 00:00:00,27.1,25,31.2,,,,8,,1013.8,
2020-01-20 00:00:00,26.9,24,30.5,,,,10.5,,1015.3,
2020-01-21 00:00:00,26.8,23.4,31.3,,,,13.8,,1017.1,
2020-01-22 00:00:00,27,22.4,31.8,,,,14,,1016.4,
2020-01-23 00:00:00,27.9,22.8,31.6,,,,12.6,,1014.8,
2020-01-24 00:00:00,25.8,25,28,,,,6.4,,1013.8,
2020-01-25 00:00:00,27.1,23.5,30.1,,,,7.2,,1012.3,
2020-01-26 00:00:00,27.7,24.8,31.8,0,,,9.8,,1010.4,
2020-01-27 00:00:00,27.7,25.9,32.2,,,,11.2,,1010.7,
2020-01-28 00:00:00,27.2,24,32.8,,,,8.4,,1011.2,
2020-01-29 00:00:00,26.9,23.2,31,,,,10.7,,1011.7,
2020-01-30 00:00:00,26.6,24,30.3,,,,16.6,,1011.7,
2020-01-31 00:00:00,25.5,22,29,,,,9.4,,1013.7,
2020-02-01 00:00:00,25.8,22.6,30.9,0,,,11.5,,1015.3,
2020-02-02 00:00:00,25.1,21.3,28.5,,,,9.2,,1016,
2020-02-03 00:00:00,24.2,23,28.4,0,,,10.4,,1016.1,
2020-02-04 00:00:00,26.5,20.2,30.9,,,,8.3,,1014.4,
2020-02-05 00:00:00,27.7,21.9,32.1,,,,9,,1012.9,
2020-02-06 00:00:00,27.3,24.7,30.4,,,,7.9,,1013,
2020-02-07 00:00:00,26.3,25,29.5,0,,,7.2,,1013.5,
2020-02-08 00:00:00,27.2,24.4,31.8,22.6,,,9.2,,1014.3,
2020-02-09 00:00:00,26.6,25,29.3,2,,,9.4,,1015.1,
2020-02-10 00:00:00,26,24,29.9,0,,,13.3,,1016,
2020-02-11 00:00:00,25.9,23,31.1,,,,13.4,,1017.4,
2020-02-12 00:00:00,26.9,20.6,31.4,,,,10.8,,1016.5,
2020-02-13 00:00:00,25.9,22.5,29.6,,,,8.6,,1015.3,
2020-02-14 00:00:00,28.2,22.6,32.2,,,,11.6,,1013.2,
2020-02-15 00:00:00,27.8,25,32.1,,,,13.6,,1013.6,
2020-02-16 00:00:00,28.2,23.3,33,,,,8.1,,1014.1,
2020-02-17 00:00:00,27.1,23.4,31.3,,,,8,,1015,
2020-02-18 00:00:00,27,25,31.9,0,,,12,,1015.4,
2020-02-19 00:00:00,26.7,23,31.9,,,,13.3,,1016.3,
2020-02-20 00:00:00,26.6,22.5,30.4,,,,14.7,,1017.2,
2020-02-21 00:00:00,27.4,22.1,32.8,,,,15.4,,1017.6,
2020-02-22 00:00:00,27.6,22.7,33.1,,,,12.8,,1018,
2020-02-23 00:00:00,27.8,23.2,32.2,,,,11.5,,1016.2,
2020-02-24 00:00:00,27.8,24.3,32.2,,,,11.4,,1014.8,
2020-02-25 00:00:00,27.4,24.9,32,0,,,12.5,,1013.6,
2020-02-26 00:00:00,27.3,22.6,32.5,,,,8.7,,1013.5,
2020-02-27 00:00:00,27.8,23.7,33.1,0,,,12.7,,1013.3,
2020-02-28 00:00:00,28.2,23.1,33.6,,,,11.7,,1012.8,
2020-02-29 00:00:00,28.4,25.3,32.8,,,,13.6,,1012.3,
2020-03-01 00:00:00,27.7,25.6,32.5,,,,12.3,,1012.1,
2020-03-02 00:00:00,28.1,22.7,32.7,,,,14.7,,1012.5,
2020-03-03 00:00:00,27.9,23,33.2,,,,13.9,,1013,
2020-03-04 00:00:00,27.6,23.5,31.7,,,,12.3,,1012.4,
2020-03-05 00:00:00,28.2,23.6,33.1,,,,8.6,,1012,
2020-03-06 00:00:00,29,24.5,33.7,,,,8.8,,1012,
2020-03-07 00:00:00,29.5,24.9,35,,,,8.9,,1011.7,
2020-03-08 00:00:00,30.2,26.4,35.5,,,,8.8,,1010.5,
2020-03-09 00:00:00,29.8,27.2,35.3,0,,,11.4,,1009.7,
2020-03-10 00:00:00,29.4,27,33.7,,,,9.4,,1011.1,
2020-03-11 00:00:00,29.6,24.6,33,,,,11,,1013,
2020-03-12 00:00:00,29.3,26.8,33.6,,,,16,,1014.1,
2020-03-13 00:00:00,29.5,24.6,34,,,,9.4,,1014.6,
2020-03-14 00:00:00,28.8,25.2,34.2,,,,8.8,,1012.4,
2020-03-15 00:00:00,29,26.1,33.5,,,,9.2,,1012.9,
2020-03-16 00:00:00,27.6,26.9,30.1,,,,11.3,,1014,
2020-03-17 00:00:00,27.7,25.6,32,,,,12.9,,1014.7,
2020-03-18 00:00:00,28.2,25.9,33.1,,,,12.4,,1013.3,
2020-03-19 00:00:00,29.2,23.3,33.7,,,,10,,1012.7,
2020-03-20 00:00:00,29.6,26,34.2,,,,9.9,,1012.8,
