date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-08-01 00:00:00,27.1,25.4,28.6,34,,,9.3,,1006.6,
2023-08-02 00:00:00,27.1,25.3,30.6,15.5,,,9.9,,1007.2,
2023-08-03 00:00:00,28.1,25.4,32,15.5,,,11.7,,1009.3,
2023-08-04 00:00:00,29.3,26.2,32.6,2,,,16.8,,1011.4,
2023-08-05 00:00:00,29.6,26.9,32,0,,,21.3,,1010.4,
2023-08-06 00:00:00,29.7,28,32.2,0.1,,,25.4,,1008,
2023-08-07 00:00:00,29.6,26.6,32.4,2.5,,,24.8,,1007.3,
2023-08-08 00:00:00,29.8,26,32,33,,,23.9,,1007.9,
2023-08-09 00:00:00,30.1,27.5,32.5,3.6,,,20.9,,1008.9,
2023-08-10 00:00:00,30.1,28.9,32,0,,,17.6,,1008.3,
2023-08-11 00:00:00,29.8,27.9,32.2,3,,,20.4,,1008,
2023-08-12 00:00:00,29.8,27.1,32.5,0,,,14.6,,1008.4,
2023-08-13 00:00:00,29.9,27.9,32.5,1.1,,,15.3,,1008.2,
2023-08-14 00:00:00,29.5,28,32.3,11.4,,,14,,1008.7,
2023-08-15 00:00:00,29.7,26.9,32.3,5.6,,,14.7,,1009.3,
2023-08-16 00:00:00,29.6,27.1,32.2,0.5,,,17.6,,1009.3,
2023-08-17 00:00:00,29.4,27.8,32.2,1,,,17.7,,1008.2,
2023-08-18 00:00:00,29.1,27,32.5,0,,,13.7,,1007.6,
2023-08-19 00:00:00,29.6,26.9,32.6,0.5,,,8.8,,1008.6,
2023-08-20 00:00:00,29.4,27,32.5,0,,,12.3,,1009.6,
2023-08-21 00:00:00,29.4,25.9,31.8,7.6,,,14,,1009.3,
2023-08-22 00:00:00,28.1,25,31.1,33.5,,,12.8,,1008.2,
2023-08-23 00:00:00,28.9,24.5,32,29,,,12.8,,1008.3,
2023-08-24 00:00:00,28.9,24.9,31,61.5,,,14.8,,1009.1,
2023-08-25 00:00:00,29.5,26.8,32.3,0,,,17.1,,1007.8,
2023-08-26 00:00:00,27.8,26,30.8,6.6,,,24.7,,1005.5,
2023-08-27 00:00:00,27.4,26,29,7.3,,,25.8,,1003,
2023-08-28 00:00:00,29.2,25.8,32.4,3.6,,,21,,1002.2,
2023-08-29 00:00:00,28.3,27,31.3,0,,,17.9,,1003.2,
2023-08-30 00:00:00,27.9,26.8,31.5,3.6,,,23,,1004.8,
2023-08-31 00:00:00,27.6,24.2,31,38.1,,,11.3,,1005.8,
2023-09-01 00:00:00,27.3,25,32.1,32,,,15.8,,1005.8,
2023-09-02 00:00:00,27.7,24.6,31.9,52.6,,,13.1,,1004.2,
2023-09-03 00:00:00,27.2,26,31,49.5,,,14.6,,1004.6,
2023-09-04 00:00:00,27.7,25,30.2,24.4,,,11.4,,1006.1,
2023-09-05 00:00:00,28,25.4,30.6,10.4,,,10.2,,1008.6,
2023-09-06 00:00:00,29.7,26.5,32.8,7.1,,,10.9,,1009.8,
2023-09-07 00:00:00,29.8,27,33.6,0,,,11.1,,1009.8,
2023-09-08 00:00:00,29.3,26,33.6,1,,,11.6,,1010.2,
2023-09-09 00:00:00,30.1,26.4,34,3,,,7.5,,1009.2,
2023-09-10 00:00:00,29.4,27.6,32.1,0,,,11.7,,1009.2,
2023-09-11 00:00:00,29.5,26.8,32,1,,,12.1,,1009.1,
2023-09-12 00:00:00,27.5,26,31.7,0,,,7.8,,1008.4,
2023-09-13 00:00:00,28.2,25.1,30.9,4.6,,,11.6,,1008.4,
2023-09-14 00:00:00,28.4,26.9,31.5,0,,,9.8,,1008.5,
2023-09-15 00:00:00,28.6,26.4,31,9.2,,,7.4,,1010.1,
2023-09-16 00:00:00,29.9,26.8,35,1.8,,,6.7,,1010.8,
2023-09-17 00:00:00,28.5,25,33.5,15.1,,,6.2,,1009.7,
2023-09-18 00:00:00,30.2,23.9,33.7,5.5,,,7.7,,1009.5,
2023-09-19 00:00:00,31.7,27,34.5,7.2,,,7,,1009.6,
2023-09-20 00:00:00,30.7,26.3,35,2.3,,,8.9,,1009.2,
2023-09-21 00:00:00,29.5,27,33.2,5.7,,,6.4,,1008.6,
2023-09-22 00:00:00,28.2,27.5,30.4,1,,,3.6,,1007.5,
2023-09-23 00:00:00,27.4,25.6,28.5,11.9,,,7.1,,1007.6,
2023-09-24 00:00:00,29.8,26.3,33.2,2.5,,,5,,1007.5,
2023-09-25 00:00:00,28.6,27,32.4,0,,,6.3,,1008.3,
2023-09-26 00:00:00,28.4,25,32.4,3.6,,,11.9,,1008.5,
2023-09-27 00:00:00,28.6,22.7,31.6,15,,,10.3,,1007.8,
2023-09-28 00:00:00,28.7,24,34.6,6.6,,,7.8,,1008.8,
2023-09-29 00:00:00,29.2,23.9,32.5,41.4,,,7,,1009,
2023-09-30 00:00:00,29.4,27.4,32.1,1,,,13.1,,1007.4,
2023-10-01 00:00:00,29.3,27.8,31.6,0.5,,,15.1,,1006.9,
2023-10-02 00:00:00,28.1,24.9,31.1,14,,,13.7,,1008.5,
2023-10-03 00:00:00,27.9,25.8,30,24.9,,,18.1,,1009.6,
2023-10-04 00:00:00,27.9,26.5,29.7,11.9,,,19.1,,1009.7,
2023-10-05 00:00:00,27.2,25.6,31.5,0,,,8.6,,1009.4,
2023-10-06 00:00:00,27.9,24.1,30.1,11.4,,,13.1,,1010.2,
