id,ts,station_id,lsid,tx_id,temp_last,temp_hi,temp_lo,temp_avg,temp_hi_at,temp_lo_at,hum_last,hum_hi,hum_lo,hum_hi_at,hum_lo_at,heat_index_last,heat_index_hi,heat_index_hi_at,wind_chill_last,wind_chill_lo,wind_chill_lo_at,wet_bulb_last,wet_bulb_hi,wet_bulb_lo,wet_bulb_hi_at,wet_bulb_lo_at,dew_point_last,dew_point_hi,dew_point_lo,dew_point_hi_at,dew_point_lo_at,wind_speed_last,wind_speed_hi,wind_speed_avg,wind_speed_hi_at,wind_dir_last,wind_dir_of_prevail,wind_dir_of_avg,wind_speed_hi_dir,wind_run,rainfall_mm,rainfall_in,rain_rate_hi_mm,rain_rate_hi_in,rain_rate_hi_at,rain_size,rainfall_clicks,rain_rate_hi_clicks,solar_rad_hi,solar_rad_avg,solar_energy,solar_rad_hi_at,uv_index_hi,uv_index_avg,uv_dose,uv_index_hi_at,thw_index_last,thw_index_hi,thw_index_lo,thw_index_hi_at,thw_index_lo_at,thsw_index_last,thsw_index_hi,thsw_index_lo,thsw_index_hi_at,thsw_index_lo_at,wbgt_last,wbgt_hi,wbgt_hi_at,pressure,rssi,reception,packets_received,packets_missed,packets_received_streak,packets_missed_streak,crc_errors,resyncs,freq_error_avg,freq_error_total,trans_battery_volt,trans_battery_flag,supercap_volt_last,solar_volt_last,solar_rad_volt_last,uv_volt_last,spars_volt_last,spars_rpm_last,hdd,cdd,et,arch_int,tz_offset,gnss_fix,gnss_clock,latitude,longitude,elevation,synced_at,data_source
1,1760955300,205011,813260,1,85.5,85.5,85.4,85.4,1760954403,1760954485,79.5,81.8,79.5,1760954672,1760955236,98.3,99.4,1760954475,85.5,85.4,1760954485,80.2,80.8,80.2,1760954475,1760955243,78.4,79.3,78.3,1760954475,1760955243,,7.5,3.49,1760954475,,315,311,320,0.8700000047683716,0.0,0.0,0.0,0.0,1760954400,1,0,0,,,,,,,,,98.3,99.4,98.0,1760954475,1760955243,,,,,,,,,,-87,100.0,351,0,928,0,0,0,0,-21,2.998,0,2.382,0.035,2.998,3,,,0.0,0.213,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
2,1760956200,205011,813260,1,85.2,85.5,85.1,85.3,1760955346,1760955981,79.6,81.3,79.6,1760955594,1760956158,97.5,99.0,1760955551,85.2,85.1,1760955981,80.0,80.6,80.0,1760955551,1760956176,78.2,79.0,78.2,1760955602,1760956176,,11.06,6.42,1760956189,,315,308,276,1.600000023841858,0.0,0.0,0.0,0.0,1760955312,1,0,0,,,,,,,,,97.5,99.0,97.5,1760955551,1760956074,,,,,,,,,,-87,100.0,351,0,1279,0,0,0,0,-31,2.998,0,2.353,0.035,2.998,3,,,0.0,0.212,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
3,1760957100,205011,813260,1,85.0,85.2,85.0,85.1,1760956227,1760956883,80.5,80.6,79.1,1760956773,1760956261,97.3,97.9,1760956689,85.0,84.6,1760956914,80.0,80.2,79.8,1760956689,1760956268,78.3,78.5,78.0,1760956689,1760956268,,11.94,7.27,1760956312,,315,313,286,1.8200000524520874,0.0,0.0,0.0,0.0,1760956204,1,0,0,,,,,,,,,97.3,97.7,96.8,1760956873,1760956935,,,,,,,,,,-87,100.0,351,0,1630,0,0,0,0,-27,2.998,0,2.321,0.035,2.998,3,,,0.0,0.21,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
4,1760958000,205011,813260,1,84.9,85.0,84.9,84.9,1760957101,1760957396,81.1,81.1,80.4,1760957952,1760957337,97.3,97.5,1760957550,84.9,84.5,1760957396,80.1,80.1,80.0,1760957550,1760957345,78.5,78.5,78.3,1760957960,1760957345,,11.5,6.38,1760957470,,315,317,313,1.590000033378601,0.0,0.0,0.0,0.0,1760957106,1,0,0,,,,,,,,,97.3,97.5,96.8,1760957550,1760957396,,,,,,,,,,-87,100.0,351,1,1706,0,1,0,0,-22,2.998,0,2.292,0.035,2.998,3,,,0.0,0.208,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
5,1760958900,205011,813260,1,84.8,84.9,84.8,84.8,1760958001,1760958093,80.1,81.0,80.0,1760958054,1760958721,96.6,97.3,1760958001,84.8,84.8,1760958093,79.7,80.1,79.7,1760958001,1760958523,78.0,78.5,77.9,1760958001,1760958728,,10.25,4.86,1760958008,,337,340,345,1.2200000286102295,0.0,0.0,0.0,0.0,1760958008,1,0,0,,,,,,,,,96.6,97.3,96.5,1760958001,1760958728,,,,,,,,,,-87,100.0,351,0,626,0,0,0,0,-6,2.998,0,2.262,0.035,2.998,3,,,0.0,0.207,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
6,1760959800,205011,813260,1,84.7,84.8,84.7,84.7,1760958903,1760958923,81.1,81.3,80.0,1760959643,1760958926,96.7,96.9,1760959323,84.7,84.7,1760958923,79.9,80.0,79.6,1760959651,1760958923,78.2,78.3,77.9,1760959651,1760958923,,11.88,5.16,1760959689,,315,327,328,1.2899999618530273,0.0,0.0,0.0,0.0,1760958900,1,0,0,,,,,,,,,96.7,96.9,96.3,1760959323,1760958923,,,,,,,,,,-87,100.0,351,0,977,0,0,0,0,-7,2.998,0,2.23,0.038,2.998,3,,,0.0,0.206,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
7,1760960700,205011,813260,1,84.7,84.8,84.6,84.7,1760959866,1760960625,80.3,81.1,80.3,1760959848,1760960617,96.4,97.0,1760959866,84.7,84.6,1760960625,79.7,80.0,79.6,1760959866,1760960625,78.0,78.4,77.9,1760959866,1760960625,,8.94,4.29,1760960655,,315,314,297,1.0700000524520874,0.0,0.0,0.0,0.0,1760959812,1,0,0,,,,,,,,,96.4,97.0,96.1,1760959866,1760960625,,,,,,,,,,-87,100.0,351,0,1328,0,0,0,0,-33,2.998,0,2.198,0.038,2.998,3,,,0.0,0.205,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
8,1760961600,205011,813260,1,84.5,84.7,84.5,84.6,1760960707,1760961363,81.1,81.2,79.9,1760961488,1760960771,96.2,96.6,1760960983,84.5,84.5,1760961363,79.7,79.8,79.6,1760960983,1760960778,78.1,78.2,77.8,1760961393,1760960778,,11.0,4.14,1760960742,,360,341,315,1.0399999618530273,0.0,0.0,0.0,0.0,1760960714,1,0,0,,,,,,,,,96.2,96.6,96.1,1760960983,1760961363,,,,,,,,,,-87,100.0,352,0,1680,0,0,0,0,-17,2.998,0,2.168,0.038,2.998,3,,,0.0,0.204,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
9,1760962500,205011,813260,1,84.5,84.5,84.4,84.4,1760961609,1760961660,81.0,81.5,80.7,1760961949,1760962257,96.1,96.3,1760961803,84.5,84.4,1760961660,79.7,79.8,79.5,1760961803,1760962224,78.0,78.2,77.8,1760961803,1760962275,,10.5,4.38,1760961696,,315,323,333,1.090000033378601,0.0,0.0,0.0,0.0,1760961606,1,0,0,,,,,,,,,96.1,96.3,95.7,1760961803,1760962275,,,,,,,,,,-87,100.0,351,0,2031,0,0,0,0,-18,2.998,0,2.127,0.035,2.998,3,,,0.0,0.203,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
10,1760963400,205011,813260,1,84.3,84.5,84.3,84.4,1760962500,1760963228,81.2,81.3,80.9,1760963077,1760962872,95.7,96.2,1760962521,84.3,84.3,1760963228,79.5,79.8,79.5,1760962521,1760963228,77.9,78.1,77.9,1760962521,1760963341,,8.88,3.9,1760962667,,360,335,330,0.9700000286102295,0.0,0.0,0.0,0.0,1760962508,1,0,0,,,,,,,,,95.7,96.2,95.6,1760962521,1760963341,,,,,,,,,,-87,100.0,351,0,2382,0,0,0,0,-32,2.998,0,2.092,0.035,2.998,3,,,0.0,0.202,,900,28800,,,,,,2025-10-21 18:06:10.043770,weatherlink
